AgeCat Cor Gen Rep Ref varE
potomciNP0 0.405880977142 33 0 1K 0.5
telF1 0.422402453211 33 0 1K 0.5
k3 0.714384138542 34 0 1K 0.5
k5 0.712367786617 34 0 1K 0.5
pBM4 0.184130113355 34 0 1K 0.5
pBM5 0.281929508994 34 0 1K 0.5
pBM6 0.653419305065 34 0 1K 0.5
potomciNP0 0.344302645 34 0 1K 0.5
telF1 0.451213358289 34 0 1K 0.5
k3 0.683834973449 35 0 1K 0.5
k5 0.699367530733 35 0 1K 0.5
pBM4 0.357051355062 35 0 1K 0.5
pBM5 0.203656894789 35 0 1K 0.5
pBM6 0.179282640797 35 0 1K 0.5
potomciNP0 0.245525225289 35 0 1K 0.5
telF1 0.376939644564 35 0 1K 0.5
k3 0.691919059669 36 0 1K 0.5
k5 0.724456893919 36 0 1K 0.5
pBM4 0.394872569208 36 0 1K 0.5
pBM5 0.348479872224 36 0 1K 0.5
pBM6 0.247138107635 36 0 1K 0.5
potomciNP0 0.221412691721 36 0 1K 0.5
telF1 0.411580921031 36 0 1K 0.5
k3 0.685198962761 37 0 1K 0.5
k5 0.693141432446 37 0 1K 0.5
pBM4 0.358007963707 37 0 1K 0.5
pBM5 0.458199420012 37 0 1K 0.5
pBM6 0.340995878549 37 0 1K 0.5
potomciNP0 0.198360942312 37 0 1K 0.5
telF1 0.44202326987 37 0 1K 0.5
k3 0.675478874902 38 0 1K 0.5
k5 0.711484230316 38 0 1K 0.5
pBM4 0.378900485085 38 0 1K 0.5
pBM5 0.448278337468 38 0 1K 0.5
pBM6 0.539173285435 38 0 1K 0.5
potomciNP0 0.399874773345 38 0 1K 0.5
telF1 0.428573120937 38 0 1K 0.5
k3 0.680084975233 39 0 1K 0.5
k5 0.708536007378 39 0 1K 0.5
pBM4 0.28231925156 39 0 1K 0.5
pBM5 0.38078653164 39 0 1K 0.5
pBM6 0.493664687733 39 0 1K 0.5
potomciNP0 0.341759291484 39 0 1K 0.5
telF1 0.392623708271 39 0 1K 0.5
k3 0.670817563665 40 0 1K 0.5
k5 0.686314052112 40 0 1K 0.5
pBM4 0.141821260966 40 0 1K 0.5
pBM5 0.193351414242 40 0 1K 0.5
pBM6 0.35620290936 40 0 1K 0.5
potomciNP0 0.284140440054 40 0 1K 0.5
telF1 0.38081303425 40 0 1K 0.5
genTest1 0.79034049063 41 0 1K 0.5
gpb2 -0.0944066909384 41 0 1K 0.5
gpb3 0.775547018678 41 0 1K 0.5
gpb4 -0.151821397087 41 0 1K 0.5
gpb5 0.602116760455 41 0 1K 0.5
k3 0.396096385622 41 0 1K 0.5
k5 0.776958963944 41 0 1K 0.5
pBM4 0.500638054468 41 0 1K 0.5
pBM5 0.304473326276 41 0 1K 0.5
pBM6 0.418515021203 41 0 1K 0.5
telF1 0.476732792264 41 0 1K 0.5
gpb2 0.237283391034 42 0 1K 0.5
