AgeCat Cor Gen Rep Ref sc
k3 0.637029194052 42 0 10K 5
k5 0.699065933473 42 0 10K 5
potomciNP0 0.511446227694 42 0 10K 5
telF1 0.401938884723 42 0 10K 5
vhlevljeni1 0.514816986423 42 0 10K 5
cak5 0.895935168969 43 0 10K 5
k3 0.657410775004 43 0 10K 5
k5 0.685573374681 43 0 10K 5
potomciNP0 0.185854864753 43 0 10K 5
telF1 0.409637960951 43 0 10K 5
vhlevljeni1 0.623615285048 43 0 10K 5
cak5 0.929196315249 44 0 10K 5
k3 0.628968568759 44 0 10K 5
k5 0.687822806333 44 0 10K 5
potomciNP0 0.350981657275 44 0 10K 5
telF1 0.42298268443 44 0 10K 5
vhlevljeni1 0.0258976724092 44 0 10K 5
cak5 0.937787129646 45 0 10K 5
k3 0.629097154724 45 0 10K 5
k5 0.696467406361 45 0 10K 5
potomciNP0 0.308997933934 45 0 10K 5
telF1 0.455380024992 45 0 10K 5
vhlevljeni1 0.276181789077 45 0 10K 5
cak5 0.986599300585 46 0 10K 5
k3 0.657391198985 46 0 10K 5
k5 0.665645472848 46 0 10K 5
potomciNP0 0.264836663046 46 0 10K 5
telF1 0.38615747629 46 0 10K 5
vhlevljeni1 0.427682289367 46 0 10K 5
cak5 0.968311871396 47 0 10K 5
k3 0.651846842114 47 0 10K 5
k5 0.671529526452 47 0 10K 5
potomciNP0 0.486820820115 47 0 10K 5
telF1 0.396796943441 47 0 10K 5
vhlevljeni1 0.429788881093 47 0 10K 5
cak5 0.957700148974 48 0 10K 5
k3 0.628360623918 48 0 10K 5
k5 0.684613065093 48 0 10K 5
potomciNP0 0.448363967723 48 0 10K 5
telF1 0.472808522738 48 0 10K 5
vhlevljeni1 0.684979558353 48 0 10K 5
cak5 0.967897255109 49 0 10K 5
k3 0.639251593342 49 0 10K 5
k5 0.678436695506 49 0 10K 5
potomciNP0 0.522011625538 49 0 10K 5
telF1 0.485292735871 49 0 10K 5
vhlevljeni1 0.643102678612 49 0 10K 5
cak5 0.96314876916 50 0 10K 5
k3 0.655803435726 50 0 10K 5
k5 0.663082862032 50 0 10K 5
potomciNP0 0.465336124794 50 0 10K 5
telF1 0.517253540481 50 0 10K 5
vhlevljeni1 0.380041795736 50 0 10K 5
cak5 0.989921577585 51 0 10K 5
